Company,Job_Title,URL,Effective_URL,HTTP_Code,Reason
dLocal,Head of Market Operations India at dLocal,https://jobs.lever.co/dlocal/73053278-3d77-4973-9f08-d280f1b30d94,https://jobs.lever.co/dlocal/73053278-3d77-4973-9f08-d280f1b30d94,404,HTTP 404
dLocal,Country Manager - Thailand (Remote) at dLocal,https://jobs.lever.co/dlocal/8e4eb972-9e0d-4336-a81c-6a0c12ac5970,https://jobs.lever.co/dlocal/8e4eb972-9e0d-4336-a81c-6a0c12ac5970,404,HTTP 404
dLocal,Country Manager - Mexico at dLocal,https://jobs.lever.co/dlocal/752f72b4-fdc7-4bd5-9a53-a7f8668e7588,https://jobs.lever.co/dlocal/752f72b4-fdc7-4bd5-9a53-a7f8668e7588,404,HTTP 404
DoorDash USA,Senior Manager Strategy and Operations at DoorDash USA,https://job-boards.greenhouse.io/doordashusa/jobs/7036670,https://job-boards.greenhouse.io/doordashusa?error=true,200,Greenhouse redirect to ?error=true (job removed)
Dyte Inc.,Chief of Staff (Remote) at Dyte Inc.,https://jobs.lever.co/dyte-io/3f61c69c-38a1-4216-ab17-08f9802e0c25,https://jobs.lever.co/dyte-io/3f61c69c-38a1-4216-ab17-08f9802e0c25,404,HTTP 404
EBANX,Country Manager | Brazil at EBANX,https://boards.greenhouse.io/ebanx/jobs/5990922003,https://job-boards.greenhouse.io/ebanx?error=true,200,Greenhouse redirect to ?error=true (job removed)
Edpuzzle,Country Manager France/Belgium/Luxembourg (Remote position) at Edpuzzle,https://jobs.lever.co/edpuzzle/c54d4bf7-01c9-4631-b3ea-e9121e11b166,https://jobs.lever.co/edpuzzle/c54d4bf7-01c9-4631-b3ea-e9121e11b166,404,HTTP 404
Extreme Networks,Country Manager - France at Extreme Networks,https://jobs.lever.co/extremenetworks/f5fd2c06-e612-47ca-9546-3b60d8e2c2ff,https://jobs.lever.co/extremenetworks/f5fd2c06-e612-47ca-9546-3b60d8e2c2ff,404,HTTP 404
Flex,"Director, Head of Product Partnerships at Flex",https://boards.greenhouse.io/flex/jobs/4322963005,https://job-boards.greenhouse.io/flex?error=true,200,Greenhouse redirect to ?error=true (job removed)
Flex,"Senior Director of Strategic Partnerships, New Verticals at Flex",https://job-boards.greenhouse.io/flex/jobs/4595609005,https://job-boards.greenhouse.io/flex?error=true,200,Greenhouse redirect to ?error=true (job removed)
FSG,Chief of Staff and Director of Strategic Initiatives at FSG,https://job-boards.greenhouse.io/fsg/jobs/5412653004,https://job-boards.greenhouse.io/fsg?error=true,200,Greenhouse redirect to ?error=true (job removed)
G-P,"Senior Director, Strategic Partnerships & Ecosystem Sales at G-P",https://job-boards.greenhouse.io/globalizationpartners/jobs/7641043003,https://job-boards.greenhouse.io/globalizationpartners?error=true,200,Greenhouse redirect to ?error=true (job removed)
GitLab,"Director, Territory Partner Account Managers (EMEA) at GitLab",https://boards.greenhouse.io/gitlab/jobs/7118258002,https://job-boards.greenhouse.io/gitlab?error=true,200,Greenhouse redirect to ?error=true (job removed)
GiveDirectly,Senior Partnerships & Philanthropy Leadership Roles at GiveDirectly,https://job-boards.greenhouse.io/givedirectly/jobs/4643838005,https://job-boards.greenhouse.io/givedirectly?error=true,200,Greenhouse redirect to ?error=true (job removed)
Glean,Head of Partnerships - EMEA at Glean,https://job-boards.greenhouse.io/gleanwork/jobs/4619527005,https://job-boards.greenhouse.io/gleanwork?error=true,200,Greenhouse redirect to ?error=true (job removed)
Gong.io,"Director, EMEA Sales Strategy & Operations at Gong.io",https://jobs.lever.co/gong/bfbfacb7-5488-4a1b-8610-d873802028a7,https://jobs.lever.co/gong/bfbfacb7-5488-4a1b-8610-d873802028a7,404,HTTP 404
