source,company_slug,company_name,title,role_family,location,eligibility_summary,eligible_latam_mode,eligible_dc_mode,eligible_portugal_mode,latam_relevance,company_sector,company_stage,company_geography_hq,company_priority_tier,us_investor_signal,url,updated,ats,health_status,health_detail,posting_age_days
portfolio_board:kaszek,arq,ARQ (formerly DolarApp),Head of Growth - Mexico,growth_commercial,"Mexico City, Mexico , Mexico, Mexico City",L,true,false,false,none,fintech,series-b,Mexico,1,high,https://jobs.ashbyhq.com/ARQ/7c7d8951-7b71-403d-a21a-efde6d306e8d,2026-04-22T00:00:00Z,,stale,Ashby API: posted 89d ago (2026-04-22),89
portfolio_board:kaszek,arq,ARQ (formerly DolarApp),Head of Growth - Colombia,growth_commercial,"Bogota, Colombia, Colombia, Bogota",L,true,false,false,none,fintech,series-b,Mexico,1,high,https://jobs.ashbyhq.com/ARQ/bb1a6458-6003-4082-98a0-8ec61d3049b4,2026-04-22T00:00:00Z,,stale,Ashby API: posted 89d ago (2026-04-22),89
portfolio_board:kaszek,pomelo,Pomelo,Country Manager COL,market_entry,"Bogotá, Bogotá, Colombia",L,true,false,false,direct,unknown,unknown,unknown,2,unknown,https://pomelo.la/en/work-with-us?gh_jid=5833410004,2026-04-22T18:08:30Z,,generic,no job ID in URL path,
portfolio_board:a16z,thatch,thatch,Strategy and Operations Manager,strategic_ops,"Austin, Texas, United States, Remote (US)","L, D, P?",true,true,unclear,none,,unknown,unknown,3,unknown,https://thatch.com/jobs/5358702008?gh_jid=5358702008,2026-07-16T21:23:14Z,,closed,HTTP 404,
portfolio_board:a16z,anduril-industries,anduril-industries,"Senior Program Manager, People Operations",program,Remote,"L?, D?, P?",unclear,unclear,unclear,none,,unknown,unknown,3,unknown,https://boards.greenhouse.io/andurilindustries/jobs/5188733007?gh_jid=5188733007,2026-07-16T12:35:21Z,,closed,cross-domain redirect: job-boards.greenhouse.io,
portfolio_board:a16z,thatch,thatch,Channel Partnerships Manager,partnerships_bd,Remote (US),"L, D, P?",true,true,unclear,none,,unknown,unknown,3,unknown,https://thatch.com/jobs/5358793008?gh_jid=5358793008,2026-07-16T12:16:39Z,,closed,HTTP 404,
