company_slug,title,location,url,ats,URL_Status,Close_Reason,Posting_Age_Days
aircall,"Director, Forward Deployed Engineering & AI GTM Lead",New York Office,https://jobs.lever.co/aircall/af40e77c-554a-436b-b6cb-bf1eca20c9d7,Lever,Open,,
360learning,Revenue Strategy & Operations Manager,"Paris, Remote",https://jobs.lever.co/360learning/a75bf78f-b20c-42fd-8546-3f45479cf520,Lever,Open,,
xero,Senior Partnerships Manager,UK: London (7 Devonshire Square),https://jobs.ashbyhq.com/xero/7e44adb8-b4c9-4478-9b6a-c21ffac6aca4,Ashby,Open,,15
liveflow,Partnerships Manager,"New York, New York",https://jobs.ashbyhq.com/liveflow/8a959edc-5619-4a57-b542-76149e14ca5f,Ashby,Open,,44
apron,Partnerships Lead,London,https://jobs.ashbyhq.com/apron/3d766d52-2a5a-46e4-8ec4-d7783d1f62ec,Ashby,Open,,32
apron,Chief of Staff,London,https://jobs.ashbyhq.com/apron/fbf9d3f5-e0a9-4b74-9959-ded18d7b956c,Ashby,Open,,33
carta,"Senior Program Manager, Account Management Strategy & Operations","New York, NY",https://job-boards.greenhouse.io/carta/jobs/7614162003,Greenhouse,Open,,
gusto,Head of GTM Process & Tooling,"Denver, CO;San Francisco, CA;New York, NY",https://job-boards.greenhouse.io/gusto/jobs/7561971,Greenhouse,Open,,
mercury,Head of Growth Marketing,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",https://job-boards.greenhouse.io/mercury/jobs/5812238004,Greenhouse,Open,,
mercury,Revenue Technology - Data Strategy & Operations Lead,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",https://job-boards.greenhouse.io/mercury/jobs/5806201004,Greenhouse,Open,,
mercury,Strategic Partnerships - Accounting,"San Francisco, CA, New York, NY, Portland, OR, or Remote within United States",https://job-boards.greenhouse.io/mercury/jobs/5820686004,Greenhouse,Open,,
rain,Corporate Development Analyst,"New York, NY",https://jobs.ashbyhq.com/rain/aa4a806d-405d-4877-a64b-a3891a9be2b2,Ashby,Open,,7
zeneducate,Head of Growth Marketing,London,https://jobs.lever.co/zeneducate/15021eae-1c13-40f7-b5d3-a1ea21dabb50,Lever,Open,,
zeneducate,Trust Partnerships Manager,London,https://jobs.lever.co/zeneducate/efdc42eb-b714-4561-bc9e-3d88ae77bcd6,Lever,Open,,
stripe,Company Strategy & Operations,"San Francisco, Seattle, Chicago, US-remote, New York",https://stripe.com/jobs/search?gh_jid=5956522,Greenhouse,Open,,
stripe,"Finance and Strategy Partner, Finance, Corporate Development & Communications","San Francisco, New York City",https://stripe.com/jobs/search?gh_jid=7473983,Greenhouse,Open,,
stripe,"Global Strategic Alliances Lead, Agentic Commerce and Retail Industry","SF, Seattle, New York, Chicago",https://stripe.com/jobs/search?gh_jid=7227036,Greenhouse,Open,,
stripe,"Global Strategic Alliances Lead, Insurance Industry","SF, Seattle, New York, Chicago",https://stripe.com/jobs/search?gh_jid=7327143,Greenhouse,Open,,
stripe,"Partner Development Manager, Strategic Partnerships",US-San Francisco; US-New York City; US-Seattle; US-Remote; US-Chicago,https://stripe.com/jobs/search?gh_jid=7697672,Greenhouse,Open,,
stripe,"Product Strategy & Operations, Link","NYC, Seattle, San Francisco, Chicago, Atlanta, Remote",https://stripe.com/jobs/search?gh_jid=7657938,Greenhouse,Open,,
stripe,Risk Partnerships Manager - Banks & Treasury,"US Remote or Toronto, CA",https://stripe.com/jobs/search?gh_jid=7028809,Greenhouse,Open,,
stripe,Strategy & Operations Business Partner,"New York, San Fransisco, Seattle, Chicago, Remote in the US, Canada",https://stripe.com/jobs/search?gh_jid=7309571,Greenhouse,Open,,
